cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
DREWESTATE|DREWESTATE|HERRERAESTELINORTENO|LONSDALEDELUXE|LONSDALEDELUXE|6.25x44|MEX|BOX25,Lonsdale Deluxe,https://www.smallbatchcigar.com/herrera-esteli-norteno-lonsdale-2,Drew Estate,Herrera Esteli Norteno,Mexican San Andres,Lonsdale Deluxe,6.25x44,25,284.0,True,
CAO|CAO|FLATHEAD|V770BIGBLOCK|V770BIGBLOCK|7x70|CT|BOX24,,https://www.smallbatchcigar.com/cao-flathead-v770-big-block
MACANUDO|MACANUDO|CAFE|HYDEPARK|HYDEPARK|5.5x49|CT|BOX25,,https://www.smallbatchcigar.com/macanudo-hyde-park
MACANUDO|MACANUDO|CAFE|HAMPTONCOURT|HAMPTONCOURT|5.25x42|CT|BOX25,,https://www.smallbatchcigar.com/macanudo-hampton-court
MACANUDO|MACANUDO|CAFE|DUKEOFDEVON|DUKEOFDEVON|5.5x42|CT|BOX25,Duke of Devon,https://absolutecigars.com/product/macanudo-duke-of-devon/,Macanudo,Cafe,Connecticut Shade,Duke of Devon,5.5x42,25,216.0,True,
DREWESTATE|DREWESTATE|LIGAPRIVADANO.9|ROBUSTO|ROBUSTO|5x54|CON|BOX24,,https://www.smallbatchcigar.com/drew-estate-liga-privada-no-9-robusto
DREWESTATE|DREWESTATE|LIGAPRIVADANO.9|CORONAVIVA|CORONAVIVA|6x46|CON|BOX24,,https://www.smallbatchcigar.com/liga-privada-no-9-corona-viva
DREWESTATE|DREWESTATE|LIGAPRIVADANO.9|BELICOSO|BELICOSO|5.5x54|CON|BOX24,,https://www.smallbatchcigar.com/drew-estate-liga-privada-no-9-belicoso
DREWESTATE|DREWESTATE|LIGAPRIVADANO.9|TORO|TORO|6x52|CON|BOX24,,https://www.smallbatchcigar.com/drew-estate-liga-privada-no-9-toro
DREWESTATE|DREWESTATE|LIGAPRIVADANO.9|CORONADOUBLE|CORONADOUBLE|7x54|CON|BOX24,,https://www.smallbatchcigar.com/drew-estate-liga-privada-no-9-corona-doble
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|ROBUSTO|ROBUSTO|5x54|SAN|BOX25,,https://www.smallbatchcigar.com/undercrown-maduro-robusto
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|CORONAVIVA|CORONAVIVA|5.625x46|SAN|BOX25,,https://www.smallbatchcigar.com/undercrown-maduro-corona-viva
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|GRANTORO|GRANTORO|6x52|SAN|BOX25,,https://www.smallbatchcigar.com/undercrown-maduro-gran-toro
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|GORDITO|GORDITO|6x60|SAN|BOX25,,https://www.smallbatchcigar.com/undercrown-maduro-gordito
MONTECRISTO|MONTECRISTO|1935ANNIVERSARYNICARAGUA|DEMI|DEMI|5x50|NIC|BOX20,,https://www.smallbatchcigar.com/montecristo-1935-anniversary-nicaragua-demi
COHIBA||REDDOT|ROBUSTO|ROBUSTO|5x49|CAM|BOX25,,https://www.smallbatchcigar.com/cohiba-red-dot-churchill
